,PSP,ID,smiles_string
3813,,140,[*]C(=C([*])c1ccc(CCCC)cc1)c1ccccc1
9020,,141,[*]C(=O)Nc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc2)cc1
9808,,142,[*]c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N([*])C7=O)cc5C4=O)cc3)c2C#N)cc1
835,,143,[*]CCOC(=O)Cc1ccc(O[*])cc1
1900,,144,[*]CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1
1758,,145,[*]CCCCCCCCCCCCCCCCCCCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1
1829,,146,[*]Oc1ccc(CC([*])=O)cc1
3262,,147,[*]Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC([*])=O)c2)c1
3840,,148,[*]CC([*])(CC(=O)OCC)C(=O)O
6762,,149,[*]c1cc(COCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)c([*])s1
6491,,150,[*]c1nc2cc3sc(-c4cc(OCCCCCCCCCC)c([*])cc4OCCCCCCCCCC)nc3cc2s1
7418,,151,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1OCCOCCOCC
13212,,152,[*]c1ccc(OCOc2ccc(-c3nc(-c4ccc([N+](=O)[O-])cc4)oc3[*])cc2)cc1
9355,,153,[*]CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)CN4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N([*])C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc2)cc1
5371,,154,[*]OP(=O)(Oc1ccccc1)Oc1ccc(S(=O)(=O)c2ccc([*])cc2)cc1
2716,,155,[*]CCOC(=O)NCCCCCCNC(=O)O[*]
2429,,156,[*]Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N[*])cc1
7759,,157,[*]Nc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C([*])=O)c2)cc1
3287,,158,[*]CCCCCCCCCCOC(=O)O[*]
701,,159,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F
3285,,160,[*]Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCCCOC([*])=O)cc2)cc1
7843,,161,[*]C(=O)c1ccc(C(=O)N(C)c2cccc(N([*])C)c2)cc1
7935,,162,[*]CCCCCCCCCNC(=O)C(OC)C(OC)C(=O)N[*]
3774,,163,[*]CC([*])NC=O
4243,,164,[*]CC([*])C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6431,,165,[*]C(=O)NNC(=O)c1ccc(C(=O)NNC(=O)c2ccc([*])nc2)s1
4823,,166,[*]c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(-c7cc([*])n(-c8ccccc8)n7)cc6)cc5)cc4)cc3)cc2)cc1
10355,,167,[*]C1=CC2=NC([*])=CC2=N1
5944,,168,[*]Oc1cccc2c(OC3(F)C([*])(F)C(F)(F)C3(F)F)cccc12
6908,,169,[*]CCCCC(=O)S[*]
140,,170,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1
8802,,171,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc5ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc5c4)cc2)C3=O)cc1
9486,,172,[*]C=CC1CC([*])C2C(=O)N(CCC)C(=O)C12
1935,,173,[*]CCCOC(=O)c1ccccc1-c1ccccc1C(=O)O[*]
4412,,174,[*]CC([*])(C)C(=O)OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
8639,,175,[*]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N([*])C8=O)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1
9525,,176,[*]C(=O)N1C(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)C(C)(CC)C1=O
291,,177,[*]CC([*])C(=O)C1CCCCC1
9262,,178,[*]CCCCCCCCCCCC(=O)Oc1ccc(C2(c3ccc(OC(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3)OC(=O)c3ccccc32)cc1
6512,,179,[*]c1cc(OCCCCCCC)c([*])s1
4911,,180,[*]c1ccc2oc(-c3ccc(-c4nc5cc(C([*])(C(F)(F)F)C(F)(F)F)ccc5o4)cc3)nc2c1
